_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5232,143,1923,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b4a3bb3c-084e-43e7-93d5-6a11375c4d3c,46.9713087436505,13.2734375
5233,144,1925,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,21fb7a7e-c5c3-4fe4-ad62-9645c0d0dfea,26.2617821757763,11.7578125
5234,145,1926,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a35bae1c-fef4-41be-a63e-a5581af72ab8,24.5689106829409,11.59375
5235,146,1937,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3da37481-3c87-4711-9495-a60ca24ffe2b,358.73378476154,7412.4765625
5236,147,1944,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,d748e84e-b3b4-4606-839f-89414ba815ab,320.606674763659,335.63671875
5237,148,1946,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,93af6fcb-86e7-4a69-a525-dd3797df132c,41.062894200025,41.3203125
5238,153,2148,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b7e7d00a-dab0-47c7-a52d-7a772381cd61,156.214481392581,171.86328125
5239,154,2150,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,fb13b05f-0ac1-4d2c-b223-ccf8b2b4b905,104.127157344752,103.61328125
5240,155,2151,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,8eebaf6b-6603-4dfa-a4c5-9edee7f5471d,94.3994450301329,75.26171875
5241,156,2155,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,687f5cd2-17ad-4dea-a5f3-a6899ae013be,40.0283906586154,45.32421875
5242,160,2033,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,e28f2a93-d353-462a-a42b-5c0c40124ec6,97.430285309341,87.97265625
5243,161,2180,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a71c33be-cfdf-4158-9fba-86e0ce3eeeb8,776.300194674903,4087.73828125
